Ticker,Predicted_Return,Volatility,Risk_Adjusted_Return
TSLA_Historical_Mar2024_to_Feb2025,0.2138221038978765,4.399955832108122,0.048596409477824204
MSFT_Historical_Mar2024_to_Feb2025,0.05678165696868891,1.6101331760614082,0.03526517094841377
GOOGL_Historical_Mar2024_to_Feb2025,0.06550005872680242,1.8842441976956068,0.03476196134500311
AMZN_Historical_Mar2024_to_Feb2025,0.04478518937252621,1.910954354718341,0.023436020764141387
NVDA_Historical_Mar2024_to_Feb2025,0.057876440922190096,4.116212794139075,0.014060601275035379
JPM_Historical_Mar2024_to_Feb2025,-0.007012847156621766,1.5965482780057692,-0.004392502789128708
ADBE_Historical_Mar2024_to_Feb2025,-0.00970539948923773,2.0944287710404073,-0.004633910204788856
AAPL_Historical_Mar2024_to_Feb2025,-0.011668665233212045,1.451311341489858,-0.008040078554857097
PEP_Historical_Mar2024_to_Feb2025,-0.01735844138919641,1.4175575488766006,-0.01224530824702287
META_Historical_Mar2024_to_Feb2025,-0.051667764142472504,1.7230940932463852,-0.029985439773453373
MA_Historical_Mar2024_to_Feb2025,-0.0475430757751903,1.1272928027079427,-0.042174520662656104
BRK-B_Historical_Mar2024_to_Feb2025,-0.05305237140688552,1.1551772791835762,-0.04592570026886271
JNJ_Historical_Mar2024_to_Feb2025,-0.05720761119864248,1.195544969638532,-0.047850616079563174
